name,description,brand,price,compareAtPrice,stock,categoryName,imageUrls,specs
Bage sleeve bag leather,Bage sleeve bag leather,Unknown,2500.0,,10,Bags,data/Bage sleeve bag leather@2500.jpeg,{}
Black biowang antitheft,Black biowang antitheft,Unknown,4000.0,,10,Bags,data/Black biowang antitheft @4000.jpeg,{}
Black business king,Black business king,Unknown,3000.0,,10,Bags,data/Black business king@3000.jpeg,{}
Black haoyu backpack,Black haoyu backpack,Unknown,3500.0,,10,Bags,data/Black haoyu backpack@3500.jpeg,{}
Black nuoxiya 2 way side,Black nuoxiya 2 way side,Unknown,4000.0,,10,Bags,data/Black nuoxiya 2 way side@4k.jpeg,{}
Black nuoxiya 3 way backpack,Black nuoxiya 3 way backpack,Unknown,5000.0,,10,Bags,data/Black nuoxiya 3 way backpack @5k.jpeg,{}
Black nuoxiya 3 way medium,Black nuoxiya 3 way medium,Unknown,4000.0,,10,Bags,data/Black nuoxiya 3 way medium @4k.jpeg,{}
Black pu leather sleeve,Black pu leather sleeve,Unknown,2500.0,,10,Bags,data/Black pu leather sleeve@2500.jpeg,{}
Black sleeve bag with handles,Black sleeve bag with handles,Unknown,2000.0,,10,Bags,data/Black sleeve bag with handles@2000.jpeg,{}
Blue biowang antitheft,Blue biowang antitheft,Unknown,4000.0,,10,Bags,data/Blue biowang antitheft@4k.jpeg,{}
Blue haoyu laptop backpack,Blue haoyu laptop backpack,Unknown,3500.0,,10,Bags,data/Blue haoyu laptop backpack@3500.jpeg,{}
Blue nuoxiya 2 way side,Blue nuoxiya 2 way side,Unknown,4500.0,,10,Bags,data/Blue nuoxiya 2 way side@4500.jpeg,{}
Blue sleeve leather,Blue sleeve leather,Unknown,2000.0,,10,Bags,data/Blue sleeve leather @2000.jpeg,{}
Brown biowang antitheft,Brown biowang antitheft,Unknown,4000.0,,10,Bags,data/Brown biowang antitheft@4000.jpeg,{}
Brown business king,Brown business king,Unknown,3000.0,,10,Bags,data/Brown business king@3k.jpeg,{}
Brown jeep side bag,Brown jeep side bag,Unknown,4500.0,,10,Bags,data/Brown jeep side bag @4500.jpeg,{}
Brown sleeve leather,Brown sleeve leather,Unknown,2500.0,,10,Bags,data/Brown sleeve leather @2500.jpeg,{}
Dark brown jeep side bag,Dark brown jeep side bag,Unknown,4500.0,,10,Bags,data/Dark brown jeep side bag @4500.jpeg,{}
Green sleeve bag leather,Green sleeve bag leather,Unknown,2000.0,,10,Bags,data/Green sleeve bag leather@2k.jpeg,{}
Grey haoyu laptop bag,Grey haoyu laptop bag,Unknown,3500.0,,10,Bags,data/Grey haoyu laptop bag@3500.jpeg,{}
Grey pu leather sleeve bag,Grey pu leather sleeve bag,Unknown,2500.0,,10,Bags,data/Grey pu leather sleeve bag@2500.jpeg,{}
Grey sleeve bag leather,Grey sleeve bag leather,Unknown,2500.0,,10,Bags,data/Grey sleeve bag leather@2500.jpeg,{}
Grey sleeve bag with handles,Grey sleeve bag with handles,Unknown,2000.0,,10,Bags,data/Grey sleeve bag with handles@2000.jpeg,{}
Huan lv backpack,Huan lv backpack,Unknown,3500.0,,10,Bags,data/Huan lv backpack@3500.jpeg,{}
Jungle green business king,Jungle green business king,Unknown,3000.0,,10,Bags,data/Jungle green business king@3k.jpeg,{}
