name,description,brand,price,compareAtPrice,stock,categoryName,imageUrls,specs,variants
"14"" Laptop Sleeve – Leather","Protect your laptop with this 14-inch leather laptop sleeve. This laptop sleeve offers reliable protection against scratches, dust, and minor shocks. It is lightweight, slim, and easy to carry on its own or inside a backpack. The soft inner lining helps keep your laptop safe while the smooth zip closure allows quick access. Ideal for students, professionals, and anyone looking for a simple protective laptop case.

Keywords: laptop sleeve in Kenya, padded laptop sleeve, slim laptop sleeve, waterproof laptop sleeve, 13 inch laptop sleeve, 14 inch laptop sleeve, 15.6 inch laptop sleeve.",Generic,2000.0,2500,15,Laptop Bags & Sleeves,"data/Green sleeve bag leather@2k.jpeg,data/Black pu leather sleeve@2500.jpeg,data/Blue sleeve leather @2000.jpeg,data/Brown sleeve leather @2500.jpeg,data/Grey sleeve bag leather@2500.jpeg,data/Grey pu leather sleeve bag@2500.jpeg,data/Bage sleeve bag leather@2500.jpeg","{""Material"": ""Leather"", ""Color"": ""Black"", ""Size"": ""14\""""}","[{""id"": ""4f0ebdf3-62bb-4753-b58d-82bee4587b9d"", ""name"": ""Black"", ""priceOffset"": 500.0, ""stock"": 5}, {""id"": ""52283dd3-20be-4980-a5c9-1568076df0ba"", ""name"": ""Black"", ""priceOffset"": 500.0, ""stock"": 5}, {""id"": ""c224c73d-5034-4424-bcd8-a50bcfb2038c"", ""name"": ""Blue"", ""priceOffset"": 0.0, ""stock"": 5}, {""id"": ""5d9758e5-38b9-4b19-90d0-8c208def5139"", ""name"": ""Brown"", ""priceOffset"": 500.0, ""stock"": 5}, {""id"": ""3512013d-3759-4781-8255-0ebceb432bfa"", ""name"": ""Green"", ""priceOffset"": 0.0, ""stock"": 5}, {""id"": ""ee2fe934-650b-423a-8afb-b49140cd8691"", ""name"": ""Grey"", ""priceOffset"": 500.0, ""stock"": 5}, {""id"": ""f3aa146f-cd90-4ad9-8859-973c816de2cc"", ""name"": ""Grey"", ""priceOffset"": 500.0, ""stock"": 5}]"
"15.6"" Laptop Bag – Anti-theft","Protect your laptop with this durable 15.6-inch anti-theft laptop bag. This high-quality laptop bag is designed for safe and convenient carrying of your laptop and accessories. It features a padded laptop compartment, durable zip closure, comfortable handles, and extra pockets for charger, mouse, documents, and other essentials. Suitable for office use, school, travel, and daily business needs. Fits many laptop brands including HP, Dell, Lenovo, Acer, Asus, and Toshiba.

Keywords: laptop bag in Kenya, waterproof laptop bag, office laptop bag, school laptop bag, travel laptop bag, padded laptop bag.",Generic,4000.0,5000,15,Laptop Bags & Sleeves,"data/Blue biowang antitheft@4k.jpeg,data/Wiersoon antitheft backpack @4500.jpeg,data/Brown biowang antitheft@4000.jpeg,data/Reflector biowang antitheft@4k.jpeg,data/Black biowang antitheft @4000.jpeg","{""Material"": ""Anti-theft"", ""Color"": ""Black"", ""Size"": ""15.6\""""}","[{""id"": ""0368b07c-2e36-4352-b0d9-4d2668e1b6c9"", ""name"": ""Black"", ""priceOffset"": 0.0, ""stock"": 5}, {""id"": ""2222e8f2-de64-4535-a7f9-7d3f3b5a0e4b"", ""name"": ""Blue"", ""priceOffset"": 0.0, ""stock"": 5}, {""id"": ""ba7f0109-2552-4073-975d-699681c71c84"", ""name"": ""Brown"", ""priceOffset"": 0.0, ""stock"": 5}, {""id"": ""e4984c68-cadd-4bac-8a68-d1606b2a547e"", ""name"": ""Black"", ""priceOffset"": 0.0, ""stock"": 5}, {""id"": ""3ed0101b-a723-4365-b820-b2feec884bfe"", ""name"": ""Black"", ""priceOffset"": 500.0, ""stock"": 5}]"
"15.6"" Laptop Bag – Waterproof, Padded","Protect your laptop with this durable 15.6-inch waterproof, padded laptop bag. This high-quality laptop bag is designed for safe and convenient carrying of your laptop and accessories. It features a padded laptop compartment, durable zip closure, comfortable handles, and extra pockets for charger, mouse, documents, and other essentials. Suitable for office use, school, travel, and daily business needs. Fits many laptop brands including HP, Dell, Lenovo, Acer, Asus, and Toshiba.

Keywords: laptop bag in Kenya, waterproof laptop bag, office laptop bag, school laptop bag, travel laptop bag, padded laptop bag.",Generic,2000.0,2500,15,Laptop Bags & Sleeves,"data/Lines laptop backpack @2k.jpeg,data/Black haoyu backpack@3500.jpeg,data/Black nuoxiya 3 way backpack @5k.jpeg,data/Black nuoxiya 2 way side@4k.jpeg,data/Jungle green business king@3k.jpeg,data/Huan lv backpack@3500.jpeg,data/Dark brown jeep side bag @4500.jpeg,data/Brown business king@3k.jpeg,data/Blue haoyu laptop backpack@3500.jpeg,data/Ponasso side bag black@3500.jpeg,data/U green backpack@4k.jpeg,data/Blue nuoxiya 2 way side@4500.jpeg,data/Black nuoxiya 3 way medium @4k.jpeg,data/Black business king@3000.jpeg,data/Grey haoyu laptop bag@3500.jpeg,data/Brown jeep side bag @4500.jpeg","{""Material"": ""Waterproof, Padded"", ""Color"": ""Black"", ""Size"": ""15.6\""""}","[{""id"": ""a095f73b-ab29-424d-944d-039f1f3bfab4"", ""name"": ""Black"", ""priceOffset"": 1000.0, ""stock"": 5}, {""id"": ""c23b57f0-f065-49fe-815a-708cbf7c4997"", ""name"": ""Black"", ""priceOffset"": 1500.0, ""stock"": 5}, {""id"": ""89e61e79-89f4-4b43-9889-1b80dada319d"", ""name"": ""Black"", ""priceOffset"": 2000.0, ""stock"": 5}, {""id"": ""c0f2bd89-90fe-4ae6-916f-213121365f96"", ""name"": ""Black"", ""priceOffset"": 3000.0, ""stock"": 5}, {""id"": ""b9925d80-39e4-4aa1-981b-ccb03a66dfba"", ""name"": ""Black"", ""priceOffset"": 2000.0, ""stock"": 5}, {""id"": ""833cf5ed-599b-4d31-96ee-c6e4a2816fbc"", ""name"": ""Blue"", ""priceOffset"": 1500.0, ""stock"": 5}, {""id"": ""2963600f-8818-44f5-9f2c-6e4bfba09bcc"", ""name"": ""Blue"", ""priceOffset"": 2500.0, ""stock"": 5}, {""id"": ""f645a5fc-16e0-4da4-a957-6a9dcb9668f4"", ""name"": ""Brown"", ""priceOffset"": 1000.0, ""stock"": 5}, {""id"": ""3ded2e6c-376d-4742-adc2-f585b8a8cdaf"", ""name"": ""Brown"", ""priceOffset"": 2500.0, ""stock"": 5}, {""id"": ""e34ccfee-9abf-4a75-a60a-5a939af933fa"", ""name"": ""Brown"", ""priceOffset"": 2500.0, ""stock"": 5}, {""id"": ""48347013-01ba-46d0-bf98-d2d6307510ad"", ""name"": ""Grey"", ""priceOffset"": 1500.0, ""stock"": 5}, {""id"": ""423eebc4-4e53-4301-a0a9-441f5c1db310"", ""name"": ""Black"", ""priceOffset"": 1500.0, ""stock"": 5}, {""id"": ""53a59ea2-b57e-4790-857c-bb0d6a830fac"", ""name"": ""Green"", ""priceOffset"": 1000.0, ""stock"": 5}, {""id"": ""2a6eb164-aec9-4717-a7b3-ef3e88f50c51"", ""name"": ""Black"", ""priceOffset"": 0.0, ""stock"": 5}, {""id"": ""b8336eb1-caf7-4e07-834e-6377af7f322e"", ""name"": ""Black"", ""priceOffset"": 1500.0, ""stock"": 5}, {""id"": ""327f17e8-c5fc-4161-8b52-61c0eae91dbe"", ""name"": ""Green"", ""priceOffset"": 2000.0, ""stock"": 5}]"
"14"" Laptop Sleeve – Padded, Protective","Protect your laptop with this 14-inch padded, protective laptop sleeve. This laptop sleeve offers reliable protection against scratches, dust, and minor shocks. It is lightweight, slim, and easy to carry on its own or inside a backpack. The soft inner lining helps keep your laptop safe while the smooth zip closure allows quick access. Ideal for students, professionals, and anyone looking for a simple protective laptop case.

Keywords: laptop sleeve in Kenya, padded laptop sleeve, slim laptop sleeve, waterproof laptop sleeve, 13 inch laptop sleeve, 14 inch laptop sleeve, 15.6 inch laptop sleeve.",Generic,1500.0,2000,15,Laptop Bags & Sleeves,"data/Pink sleeve bag@1500.jpeg,data/Purple sleeve bag@1500.jpeg,data/Black sleeve bag with handles@2000.jpeg,data/Grey sleeve bag with handles@2000.jpeg","{""Material"": ""Padded, Protective"", ""Color"": ""Black"", ""Size"": ""14\""""}","[{""id"": ""c1a9e64c-a522-4652-b070-4cdc4abd1bd7"", ""name"": ""Black"", ""priceOffset"": 500.0, ""stock"": 5}, {""id"": ""f5e345e4-a819-4e49-b36a-7b089829a603"", ""name"": ""Grey"", ""priceOffset"": 500.0, ""stock"": 5}, {""id"": ""3b8d9dde-e94a-4d50-a809-23ab7d6b9173"", ""name"": ""Pink"", ""priceOffset"": 0.0, ""stock"": 5}, {""id"": ""4c37839d-f871-4926-b86c-c19f76f8a596"", ""name"": ""Purple"", ""priceOffset"": 0.0, ""stock"": 5}]"
HP x2 detachable,HP x2 detachable 8/256,Hp,28000.0,33500,15,Hp,data/NEX GEN LAPTOPS/NEX GEN LAPTOPS/hp x2.jfif,"{""RAM"": ""8GB"", ""Storage"": ""256GB""}","[{""id"": ""4589dde7-3432-4e93-a680-b8c5dabede62"", ""name"": ""8/256"", ""priceOffset"": 0.0, ""stock"": 5}]"
HP 745 G6 ryzen7,HP 745 G6 ryzen7 8/266,Hp,32500.0,39000,15,Hp,data/NEX GEN LAPTOPS/NEX GEN LAPTOPS/HP 745 G6 ryzen7.jfif,"{""Processor"": ""AMD Ryzen7"", ""RAM"": ""8GB"", ""Storage"": ""266GB""}","[{""id"": ""37b90b74-d524-4327-9c75-902714a467eb"", ""name"": ""8/266"", ""priceOffset"": 0.0, ""stock"": 5}]"
T460,T460 i5 8/256,Generic,24000.0,29000,15,Generic,data/NEX GEN LAPTOPS/NEX GEN LAPTOPS/T460s i5 6th gen 8ram 256ssd.jfif,"{""Processor"": ""Intel Core i5"", ""RAM"": ""8GB"", ""Storage"": ""256GB""}","[{""id"": ""76e2e30c-0f0b-4c7d-8176-ecbb305188ac"", ""name"": ""i5 8/256"", ""priceOffset"": 0.0, ""stock"": 5}]"
T470,T470 i7 8/256,Generic,26000.0,31000,15,Generic,data/NEX GEN LAPTOPS/NEX GEN LAPTOPS/T470s i5 8ram 256ssd.jfif,"{""Processor"": ""Intel Core i7"", ""RAM"": ""8GB"", ""Storage"": ""256GB""}","[{""id"": ""02b700e8-10b1-445b-a7c0-6ef0e778b0db"", ""name"": ""i7 8/256"", ""priceOffset"": 0.0, ""stock"": 5}]"
X240,X240 i5 8/256,Generic,19500.0,23500,15,Generic,data/NEX GEN LAPTOPS/NEX GEN LAPTOPS/hp x2.jfif,"{""Processor"": ""Intel Core i5"", ""RAM"": ""8GB"", ""Storage"": ""256GB""}","[{""id"": ""da2b722b-d440-4eff-b020-87496cf6b28d"", ""name"": ""i5 8/256"", ""priceOffset"": 0.0, ""stock"": 5}]"
X250,X250 i5 7/256,Generic,20000.0,24000,15,Generic,data/NEX GEN LAPTOPS/NEX GEN LAPTOPS/hp x2.jfif,"{""Processor"": ""Intel Core i7"", ""RAM"": ""8GB"", ""Storage"": ""256GB""}","[{""id"": ""e8bc9458-fe28-417e-8123-fe41eff33ac2"", ""name"": ""i5 7/256"", ""priceOffset"": 0.0, ""stock"": 5}, {""id"": ""ede924b6-0850-4825-8cfa-77d5d5a41c1f"", ""name"": ""i7 8/256"", ""priceOffset"": 4000.0, ""stock"": 5}]"
